gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
001078,000003,19640331,,S&P 500 Comp-Ltd,I0003,ABBOTT LABORATORIES,ABT,002824100
001300,000003,19640331,,S&P 500 Comp-Ltd,I0003,HONEYWELL INTERNATIONAL INC,HON,438516106
001440,000003,19640331,,S&P 500 Comp-Ltd,I0003,AMERICAN ELECTRIC POWER CO,AEP,025537101
002285,000003,19640331,,S&P 500 Comp-Ltd,I0003,BOEING CO,BA,097023105
002403,000003,19640331,,S&P 500 Comp-Ltd,I0003,BRISTOL-MYERS SQUIBB CO,BMY,110122108
002663,000003,19640331,,S&P 500 Comp-Ltd,I0003,CAMPBELL SOUP CO,CPB,134429109
002817,000003,19640331,,S&P 500 Comp-Ltd,I0003,CATERPILLAR INC,CAT,149123101
002991,000003,19640331,,S&P 500 Comp-Ltd,I0003,CHEVRON CORP,CVX,166764100
003144,000003,19640331,,S&P 500 Comp-Ltd,I0003,COCA-COLA CO,KO,191216100
003170,000003,19640331,,S&P 500 Comp-Ltd,I0003,COLGATE-PALMOLIVE CO,CL,194162103
003413,000003,19640331,,S&P 500 Comp-Ltd,I0003,CONSOLIDATED EDISON INC,ED,209115104
003532,000003,19640331,,S&P 500 Comp-Ltd,I0003,CORNING INC,GLW,219350105
003835,000003,19640331,,S&P 500 Comp-Ltd,I0003,DEERE & CO,DE,244199105
003897,000003,19640331,,S&P 500 Comp-Ltd,I0003,DTE ENERGY CO,DTE,233331107
004029,000003,19640331,,S&P 500 Comp-Ltd,I0003,DOMINION ENERGY INC,D,25746U109
004060,000003,19640331,,S&P 500 Comp-Ltd,I0003,DOWDUPONT INC,DWDP,26078J100
004199,000003,19640331,,S&P 500 Comp-Ltd,I0003,EATON CORP PLC,ETN,G29183103
004503,000003,19640331,,S&P 500 Comp-Ltd,I0003,EXXON MOBIL CORP,XOM,30231G102
004839,000003,19640331,,S&P 500 Comp-Ltd,I0003,FORD MOTOR CO,F,345370860
005046,000003,19640331,,S&P 500 Comp-Ltd,I0003,GENERAL DYNAMICS CORP,GD,369550108
005047,000003,19640331,,S&P 500 Comp-Ltd,I0003,GENERAL ELECTRIC CO,GE,369604103
005234,000003,19640331,,S&P 500 Comp-Ltd,I0003,GOODYEAR TIRE & RUBBER CO,GT,382550101
005439,000003,19640331,,S&P 500 Comp-Ltd,I0003,HALLIBURTON CO,HAL,406216101
005597,000003,19640331,,S&P 500 Comp-Ltd,I0003,HERSHEY CO,HSY,427866108
006066,000003,19640331,,S&P 500 Comp-Ltd,I0003,INTL BUSINESS MACHINES CORP,IBM,459200101
006104,000003,19640331,,S&P 500 Comp-Ltd,I0003,INTL PAPER CO,IP,460146103
006375,000003,19640331,,S&P 500 Comp-Ltd,I0003,KELLOGG CO,K,487836108
006435,000003,19640331,,S&P 500 Comp-Ltd,I0003,KIMBERLY-CLARK CORP,KMB,494368103
006502,000003,19640331,,S&P 500 Comp-Ltd,I0003,KROGER CO,KR,501044101
007163,000003,19640331,,S&P 500 Comp-Ltd,I0003,S&P GLOBAL INC,SPGI,78409V104
007241,000003,19640331,,S&P 500 Comp-Ltd,I0003,CVS HEALTH CORP,CVS,126650100
007257,000003,19640331,,S&P 500 Comp-Ltd,I0003,MERCK & CO,MRK,58933Y105
007366,000003,19640331,,S&P 500 Comp-Ltd,I0003,ENTERGY CORP,ETR,29364G103
007435,000003,19640331,,S&P 500 Comp-Ltd,I0003,3M CO,MMM,88579Y101
007585,000003,19640331,,S&P 500 Comp-Ltd,I0003,MOTOROLA SOLUTIONS INC,MSI,620076307
007923,000003,19640331,,S&P 500 Comp-Ltd,I0003,NORFOLK SOUTHERN CORP,NSC,655844108
007977,000003,19640331,,S&P 500 Comp-Ltd,I0003,XCEL ENERGY INC,XEL,98389B100
008099,000003,19640331,,S&P 500 Comp-Ltd,I0003,FIRSTENERGY CORP,FE,337932107
008247,000003,19640331,,S&P 500 Comp-Ltd,I0003,PPG INDUSTRIES INC,PPG,693506107
008264,000003,19640331,,S&P 500 Comp-Ltd,I0003,PG&E CORP,PCG,69331C108
008272,000003,19640331,,S&P 500 Comp-Ltd,I0003,SEMPRA ENERGY,SRE,816851109
008479,000003,19640331,,S&P 500 Comp-Ltd,I0003,PEPSICO INC,PEP,713448108
008530,000003,19640331,,S&P 500 Comp-Ltd,I0003,PFIZER INC,PFE,717081103
008539,000003,19640331,,S&P 500 Comp-Ltd,I0003,EXELON CORP,EXC,30161N101
008543,000003,19640331,,S&P 500 Comp-Ltd,I0003,ALTRIA GROUP INC,MO,02209S103
008549,000003,19640331,,S&P 500 Comp-Ltd,I0003,CONOCOPHILLIPS,COP,20825C104
008762,000003,19640331,,S&P 500 Comp-Ltd,I0003,PROCTER & GAMBLE CO,PG,742718109
008810,000003,19640331,,S&P 500 Comp-Ltd,I0003,PUBLIC SERVICE ENTRP GRP INC,PEG,744573106
008972,000003,19640331,,S&P 500 Comp-Ltd,I0003,RAYTHEON CO,RTN,755111507
009203,000003,19640331,,S&P 500 Comp-Ltd,I0003,ROCKWELL AUTOMATION,ROK,773903109
009846,000003,19640331,,S&P 500 Comp-Ltd,I0003,EDISON INTERNATIONAL,EIX,281020107
009850,000003,19640331,,S&P 500 Comp-Ltd,I0003,SOUTHERN CO,SO,842587107
010499,000003,19640331,,S&P 500 Comp-Ltd,I0003,TEXAS INSTRUMENTS INC,TXN,882508104
010867,000003,19640331,,S&P 500 Comp-Ltd,I0003,UNION PACIFIC CORP,UNP,907818108
010983,000003,19640331,,S&P 500 Comp-Ltd,I0003,UNITED TECHNOLOGIES CORP,UTX,913017109
011456,000003,19640331,,S&P 500 Comp-Ltd,I0003,WEYERHAEUSER CO,WY,962166104
011465,000003,19640331,,S&P 500 Comp-Ltd,I0003,WHIRLPOOL CORP,WHR,963320106
011636,000003,19640331,,S&P 500 Comp-Ltd,I0003,XEROX CORP,XRX,984121608
008811,000003,19640331,19700228,S&P 500 Comp-Ltd,I0003,PUBLICARD INC,CARD,744627100
266101,000003,19640331,19700228,S&P 500 Comp-Ltd,I0003,NORTHERN PACIFIC RAILWAY CO,NP.1,665585105
001722,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,ARCHER-DANIELS-MIDLAND CO,ADM,039483102
002095,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,BAYUK CIGARS INC,BYK.,073239105
002864,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,CENTRAL SOYA CO INC,5585A,155177009
003642,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,CULBRO CORP,CBO.2,229890108
003662,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,CURTISS-WRIGHT CORP,CW,231561101
006537,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,LTV STEEL CO INC,3LTVCQ3,50299Y001
007156,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,MCDONOUGH CO,MDO.1,580220101
007555,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,MOORE MCCORMACK RESOURCES,MMR.2,615798105
007780,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,NATIONAL TEA CO,NTY.1,638097105
009967,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,SQUIBB CORP,SQB,852245109
010519,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,TEXTRON INC,TXT,883203101
186915,000003,19640331,19700531,S&P 500 Comp-Ltd,I0003,AMERICAN EXPORT LINES INC,AEX.2,10299Z911
002806,000003,19640331,19700831,S&P 500 Comp-Ltd,I0003,CASE (J I) CO,JI.,147429104
008352,000003,19640331,19701130,S&P 500 Comp-Ltd,I0003,PARKE DAVIS & CO,PDC.1,700892102
010003,000003,19640331,19701130,S&P 500 Comp-Ltd,I0003,STANDARD PACKAGING CORP,SPK.1,853768109
001758,000003,19640331,19710228,S&P 500 Comp-Ltd,I0003,ARMOUR & CO,G2,042303008
001925,000003,19640331,19710531,S&P 500 Comp-Ltd,I0003,AZCON CORP,AZNC,054775101
265975,000003,19640331,19710531,S&P 500 Comp-Ltd,I0003,LOUISVILLE & NASHVILLE RR CO,LN.1,54699X936
003641,000003,19640331,19710831,S&P 500 Comp-Ltd,I0003,CUDAHY CO,CUDH,229741103
005060,000003,19640331,19710831,S&P 500 Comp-Ltd,I0003,GENERAL HOST CORP,GH.2,370064107
006990,000003,19640331,19711130,S&P 500 Comp-Ltd,I0003,MANHATTAN INDUSTRIES INC,MHT.1,562876102
002541,000003,19640331,19720229,S&P 500 Comp-Ltd,I0003,CF & I STEEL CORP,3CFIPQ,125185108
011277,000003,19640331,19720229,S&P 500 Comp-Ltd,I0003,WALWORTH CO,WW.1,933509101
002994,000003,19640331,19720831,S&P 500 Comp-Ltd,I0003,CHICAGO MILWAUKEE CORP,CHG.1,167763101
003733,000003,19640331,19720831,S&P 500 Comp-Ltd,I0003,DAN RIVER INC  -OLD,DML.1,23577Y100
004895,000003,19640331,19720831,S&P 500 Comp-Ltd,I0003,FREEPORT MCMORAN INC,FTX,356714402
007870,000003,19640331,19720831,S&P 500 Comp-Ltd,I0003,NEWBERRY (J J) CO,JJN.1,650672108
008370,000003,19640331,19720831,S&P 500 Comp-Ltd,I0003,PASCO INC,PAS.1,702544107
008430,000003,19640331,19720831,S&P 500 Comp-Ltd,I0003,PENN CENTRAL CO,PC.2,707270104
010510,000003,19640331,19720831,S&P 500 Comp-Ltd,I0003,TEXASGULF INC,TG.2,882887102
186932,000003,19640331,19720831,S&P 500 Comp-Ltd,I0003,CHICAGO RCK ISLAND & PACIFIC,RI,16899Z912
001429,000003,19640331,19730228,S&P 500 Comp-Ltd,I0003,AMERICAN CRYSTAL SUGAR CO,2388B,025303108
001620,000003,19640331,19730228,S&P 500 Comp-Ltd,I0003,AMSTAR CORP,4072A,032173007
005964,000003,19640331,19730228,S&P 500 Comp-Ltd,I0003,INGREDIENT TECHNOLOGY CORP,ITC.1,457186104
009977,000003,19640331,19730228,S&P 500 Comp-Ltd,I0003,STALEY CONTINENTAL INC,STA.1,852567106
001394,000003,19640331,19730531,S&P 500 Comp-Ltd,I0003,AMERICAN BAKERIES CO,ABA.1,024069106
004724,000003,19640331,19730531,S&P 500 Comp-Ltd,I0003,FIRST NATIONAL STORES INC,FST.4,335765103
009008,000003,19640331,19730531,S&P 500 Comp-Ltd,I0003,REED TOOL CO,RDT.1,758260103
009126,000003,19640331,19730531,S&P 500 Comp-Ltd,I0003,RICHARDSON-VICKS INC,RVI.2,763282100
011280,000003,19640331,19730531,S&P 500 Comp-Ltd,I0003,WARD FOODS INC,WD.1,934051103
005171,000003,19640331,19730831,S&P 500 Comp-Ltd,I0003,GIMBEL BROTHERS INC,2003A,376100004
004154,000003,19640331,19731130,S&P 500 Comp-Ltd,I0003,E S B INC,ESB.,268841103
004600,000003,19640331,19731130,S&P 500 Comp-Ltd,I0003,FEDERAL-MOGUL HOLDINGS CORP,FDML,313549107
001133,000003,19640331,19740531,S&P 500 Comp-Ltd,I0003,ADMIRAL CORP,ADL.1,007158108
002283,000003,19640331,19740531,S&P 500 Comp-Ltd,I0003,BOBBIE BROOKS INC,BBKS,096779202
006367,000003,19640331,19740531,S&P 500 Comp-Ltd,I0003,KEEBLER CO,KBR.1,487242109
007675,000003,19640331,19740531,S&P 500 Comp-Ltd,I0003,NABISCO INC,NB.3,629527102
007457,000003,19640331,19740831,S&P 500 Comp-Ltd,I0003,MISSOURI PACIFIC CORP,MIS.3,606191104
005063,000003,19640331,19741130,S&P 500 Comp-Ltd,I0003,GENERAL INSTRUMENT CORP,GIC.3,370120107
006765,000003,19640331,19741130,S&P 500 Comp-Ltd,I0003,LITTON INDUSTRIES INC,LIT.1,538021106
006952,000003,19640331,19741130,S&P 500 Comp-Ltd,I0003,MAGNAVOX CO,MAG.2,559380100
015106,000003,19640331,19741130,S&P 500 Comp-Ltd,I0003,BECKMAN COULTER INC,BEC,075811109
001215,000003,19640331,19750228,S&P 500 Comp-Ltd,I0003,AIRCO INC,AN.1,009292103
008123,000003,19640331,19750228,S&P 500 Comp-Ltd,I0003,OLIN CORP,OLN,680665205
014331,000003,19640331,19750228,S&P 500 Comp-Ltd,I0003,CHEMETRON CORP,5050A,163600000
004558,000003,19640331,19750531,S&P 500 Comp-Ltd,I0003,FALSTAFF BREWING CORP,FALB.1,306855107
005762,000003,19640331,19750831,S&P 500 Comp-Ltd,I0003,HOWMET CORP,HW.1,443204102
003511,000003,19640331,19751130,S&P 500 Comp-Ltd,I0003,COPPER RANGE CO,CPX.1,217525104
005261,000003,19640331,19751130,S&P 500 Comp-Ltd,I0003,GRAND UNION CO  -OLD,GUX,386532105
005270,000003,19640331,19751130,S&P 500 Comp-Ltd,I0003,GRANT (W.T.) CO,GTY.1,387604101
006361,000003,19640331,19751130,S&P 500 Comp-Ltd,I0003,KAYSER-ROTH CORP,KYR.1,486638109
006774,000003,19640331,19751130,S&P 500 Comp-Ltd,I0003,LOCKHEED MARTIN CORP,LMT,539830109
001420,000003,19640331,19760229,S&P 500 Comp-Ltd,I0003,AMERICAN CHAIN & CABLE INC,ACN.4,025105107
002892,000003,19640331,19760229,S&P 500 Comp-Ltd,I0003,CERRO CORP,CDP.3,156825101
004937,000003,19640331,19760229,S&P 500 Comp-Ltd,I0003,GAC CORP,GAC.2,361364102
006702,000003,19640331,19760229,S&P 500 Comp-Ltd,I0003,LIBBY MCNEILL & LIBBY,LJ.1,530013101
008198,000003,19640331,19760229,S&P 500 Comp-Ltd,I0003,OTIS ELEVATOR CO,OT.,689002103
009523,000003,19640331,19760229,S&P 500 Comp-Ltd,I0003,SCOVILL INC,SCO.1,810640102
001043,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,MULTIGRAPHICS INC,MTI.3,625440102
001279,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,ALLEGHENY ENERGY INC,AYE,017361106
001380,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,HESS CORP,HES,42809H107
001489,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,AMERICAN INVESTMENT CO,AIC.2,026879106
001738,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,WASHINGTON MUTUAL FINL CORP,WM1,939320008
003039,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,DUKE ENERGY OHIO INC,CIN1,172070005
003439,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,CMS ENERGY CORP,CMS,125896100
003814,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,DPL INC,AES5,233293109
003848,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,CONECTIV INC,POM2,206829103
004103,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,DUQUESNE LIGHT HOLDINGS INC,DQE,266233105
004183,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,EASTERN AIR LINES,QCTA1,276191004
004430,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,EQT CORP,EQT,26884L109
004799,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,DUKE ENERGY FLORIDA INC,DUK9,26499R004
005079,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,GPU INC,GPU.,36225X100
005877,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,ILLINOVA CORP,ILN,452317100
006178,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,IPALCO ENTERPRISES INC,AES4,462613001
006335,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,KANSAS CITY SOUTHERN,KSU,485170302
006547,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,SPIRE INC,SR,84857L101
007862,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,ENERGY EAST CORP,EAS,29266M109
009149,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,RIO GRANDE INDUSTRIES,RGI.1,76799Y100
009195,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,FRONTIER CORP,FRO.1,35906P105
010818,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,USM CORP,USM.1,903298404
011296,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,WGL HOLDINGS INC,WGL,92924F106
012564,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,CLEVELAND ELECTRIC ILLUM,CX2,186108007
013121,000003,19640331,19760531,S&P 500 Comp-Ltd,I0003,FLAGSTAR CORP,3FLSTQ1,338473002
007061,000003,19640331,19760831,S&P 500 Comp-Ltd,I0003,MARQUETTE CO,MQC.,571443100
007254,000003,19640331,19761130,S&P 500 Comp-Ltd,I0003,MERCANTILE STORES CO INC,MST.,587533100
007618,000003,19640331,19761130,S&P 500 Comp-Ltd,I0003,MURPHY (G.C.) CO,MPH.2,626643100
001628,000003,19640331,19770228,S&P 500 Comp-Ltd,I0003,ANACONDA CO,A.2,032393100
003470,000003,19640331,19770531,S&P 500 Comp-Ltd,I0003,CONTINENTAL STEEL CORP-DEL,CSCSQ,212072102
006651,000003,19640331,19771130,S&P 500 Comp-Ltd,I0003,LEHIGH PORTLAND CEMENT CO,LPT.,524858107
005781,000003,19640331,19780228,S&P 500 Comp-Ltd,I0003,HUNT INTL RESOURCES CORP,HI.1,445628100
001965,000003,19640331,19780531,S&P 500 Comp-Ltd,I0003,BABCOCK & WILCOX CO-OLD,BAW.,056147101
002455,000003,19640331,19780531,S&P 500 Comp-Ltd,I0003,BUDD CO,BF.,118835107
006648,000003,19640331,19780531,S&P 500 Comp-Ltd,I0003,LEESONA CORP,LSO.,524462108
004628,000003,19640331,19780831,S&P 500 Comp-Ltd,I0003,FIBREBOARD CORP -OLD,FBD.,315711101
005979,000003,19640331,19780831,S&P 500 Comp-Ltd,I0003,INSPIRATION CONS COPPER CO,9177A,457686004
006846,000003,19640331,19781130,S&P 500 Comp-Ltd,I0003,LYKES CORP-DEL,LY,550890107
008331,000003,19640331,19781130,S&P 500 Comp-Ltd,I0003,REVLON GROUP INC,4639A,761522002
003670,000003,19640331,19790228,S&P 500 Comp-Ltd,I0003,CUTLER-HAMMER INC,CH.3,232165100
003841,000003,19640331,19790228,S&P 500 Comp-Ltd,I0003,DEL MONTE CORP-OLD,DEL.1,24599X930
009737,000003,19640331,19790228,S&P 500 Comp-Ltd,I0003,SIMMONS CO,SIM.4,828709105
004995,000003,19640331,19790531,S&P 500 Comp-Ltd,I0003,GARDNER-DENVER CO,GDC.2,365550102
007617,000003,19640331,19790531,S&P 500 Comp-Ltd,I0003,PREMIUMWEAR INC,WEAR.1,740909106
001572,000003,19640331,19790831,S&P 500 Comp-Ltd,I0003,AMERICAN STORES CO  -OLD,ASE.2,030095103
002789,000003,19640331,19790831,S&P 500 Comp-Ltd,I0003,CARRIER CORP,CRR.2,144465101
002549,000003,19640331,19800229,S&P 500 Comp-Ltd,I0003,CIT GROUP INC-OLD,CIT.1,125577106
004780,000003,19640331,19800229,S&P 500 Comp-Ltd,I0003,FLINTKOTE CO,FO.2,339711103
006877,000003,19640331,19800531,S&P 500 Comp-Ltd,I0003,MGM GRAND HOTELS INC,GRH.1,553012105
011282,000003,19640331,19800531,S&P 500 Comp-Ltd,I0003,WARNER & SWASEY CO,WS.2,934408105
006726,000003,19640331,19800831,S&P 500 Comp-Ltd,I0003,LIGGETT GROUP INC-OLD,2788A,532202009
002989,000003,19640331,19801130,S&P 500 Comp-Ltd,I0003,CHESSIE SYSTEM INC,CO.2,165496100
007967,000003,19640331,19801130,S&P 500 Comp-Ltd,I0003,ENVIROSOURCE INC,3ENSO,29409K606
008820,000003,19640331,19801130,S&P 500 Comp-Ltd,I0003,PULLMAN INC,PU,745791103
009377,000003,19640331,19801130,S&P 500 Comp-Ltd,I0003,ST LOUIS-SAN FRAN RAILWAY,FN.1,791808108
004951,000003,19640331,19810531,S&P 500 Comp-Ltd,I0003,GK TECHNOLOGIES INC,GK.,361765100
006387,000003,19640331,19810531,S&P 500 Comp-Ltd,I0003,KENNECOTT CORP,KN.1,489314104
009103,000003,19640331,19810531,S&P 500 Comp-Ltd,I0003,REVERE COPPER & BRASS INC,RVB,761406107
010774,000003,19640331,19810531,S&P 500 Comp-Ltd,I0003,TWENTIETH CENTURY-FOX FILM,2888A,901221002
003142,000003,19640331,19810831,S&P 500 Comp-Ltd,I0003,COCA-COLA BOTTLING CO OF NY,KNY.1,191162106
009369,000003,19640331,19810831,S&P 500 Comp-Ltd,I0003,ST JOE MINERALS CORP,SJO.1,790155105
003398,000003,19640331,19811130,S&P 500 Comp-Ltd,I0003,CONOCO INC-OLD,CLL.2,20899Z104
005077,000003,19640331,19811130,S&P 500 Comp-Ltd,I0003,GENERAL PORTLAND INC,LAF1,370514002
010160,000003,19640331,19820228,S&P 500 Comp-Ltd,I0003,SUNBEAM CORP,AG1,867068009
003208,000003,19640331,19820531,S&P 500 Comp-Ltd,I0003,COLUMBIA PICTURES INDS,CPS.3,198279101
007068,000003,19640331,19820531,S&P 500 Comp-Ltd,I0003,MARSHALL FIELD & CO,MF.,572342103
009009,000003,19640331,19820531,S&P 500 Comp-Ltd,I0003,REEVES BROTHERS INC,RVS.,758556104
009303,000003,19640331,19820531,S&P 500 Comp-Ltd,I0003,RYMER FOODS INC,RFDS,783771306
009864,000003,19640331,19820531,S&P 500 Comp-Ltd,I0003,NORFOLK SOUTHERN RAILWAY CO,NSC1,655855005
001221,000003,19640331,19820831,S&P 500 Comp-Ltd,I0003,AKZONA,AXO.2,010202109
007007,000003,19640331,19820831,S&P 500 Comp-Ltd,I0003,JOHNS MANVILLE CORP,JM,478129109
009766,000003,19640331,19820831,S&P 500 Comp-Ltd,I0003,SLATTERY GROUP INC,3SGIB,831175203
001362,000003,19640331,19820930,S&P 500 Comp-Ltd,I0003,AMALGAMATED SUGAR CO,AGM.2,022771109
005669,000003,19640331,19820930,S&P 500 Comp-Ltd,I0003,HOLLY SUGAR CORP,HLYS.1,436092100
003067,000003,19640331,19821130,S&P 500 Comp-Ltd,I0003,CITIES SERVICE CO,OXY1,173036005
002157,000003,19640331,19830131,S&P 500 Comp-Ltd,I0003,BENDIX CORP,ALD1,081689002
005025,000003,19640331,19830228,S&P 500 Comp-Ltd,I0003,GENERAL AMERICAN OIL CO-TX,GAO,368820106
005767,000003,19640331,19830630,S&P 500 Comp-Ltd,I0003,HUDSON BAY MINING & SMELTING,7606B,443654405
010091,000003,19640331,19830731,S&P 500 Comp-Ltd,I0003,STOKELY VAN CAMP INC,OAT1,861504009
002424,000003,19640331,19831031,S&P 500 Comp-Ltd,I0003,KEYSPAN ENERGY CORP,KSE.,493375109
004240,000003,19640331,19831031,S&P 500 Comp-Ltd,I0003,EL PASO CO,ELG.2,283362101
007837,000003,19640331,19831031,S&P 500 Comp-Ltd,I0003,NEW ENGLAND ELECTRIC SYSTEM,NES.2,644001109
013353,000003,19640331,19831031,S&P 500 Comp-Ltd,I0003,WISCONSIN ELECTRIC POWER CO,WEC2,976656009
009404,000003,19640331,19831130,S&P 500 Comp-Ltd,I0003,SANTA FE INDUSTRIES,SFF.2,802020107
004011,000003,19640331,19840131,S&P 500 Comp-Ltd,I0003,DR PEPPER CO-OLD,DOC.3,256129107
010649,000003,19640331,19840131,S&P 500 Comp-Ltd,I0003,TRANE CO,TRA.3,892892100
021504,000003,19640331,19840331,S&P 500 Comp-Ltd,I0003,CONE MILLS CORP,CJML,206814105
007089,000003,19640331,19840430,S&P 500 Comp-Ltd,I0003,MASONITE CORP,MNC.3,575379201
005382,000003,19640331,19840531,S&P 500 Comp-Ltd,I0003,GULF CORP,GO.1,402237101
007298,000003,19640331,19840531,S&P 500 Comp-Ltd,I0003,METROMEDIA INC,MET.2,591690102
001010,000003,19640331,19840630,S&P 500 Comp-Ltd,I0003,ACF INDUSTRIES HOLDING CORP,4165A,00099V004
009064,000003,19640331,19840630,S&P 500 Comp-Ltd,I0003,REPUBLIC STEEL CORP,3LTVCQ2,760779009
009266,000003,19640331,19840630,S&P 500 Comp-Ltd,I0003,ROYAL CROWN COS INC,RCC.2,780240107
004449,000003,19640331,19840731,S&P 500 Comp-Ltd,I0003,ESMARK INC-OLD,ESM.1,296470107
003460,000003,19640331,19840930,S&P 500 Comp-Ltd,I0003,CONTINENTAL GROUP INC,CCC.6,211452107
010197,000003,19640331,19840930,S&P 500 Comp-Ltd,I0003,SUPERIOR OIL CO,SOC.3,868273103
006260,000003,19640331,19841031,S&P 500 Comp-Ltd,I0003,JEWEL COS INC,JWL.,477196109
009381,000003,19640331,19841031,S&P 500 Comp-Ltd,I0003,ST REGIS CORP,SRT.1,793453101
011462,000003,19640331,19850331,S&P 500 Comp-Ltd,I0003,HANDY & HARMAN LTD,HNH,929248409
001528,000003,19640331,19850430,S&P 500 Comp-Ltd,I0003,AMERICAN NATURAL RESOURCES,ANR.2,028609105
007162,000003,19640331,19850430,S&P 500 Comp-Ltd,I0003,MCGRAW-EDISON CO,MGR.2,580628105
007707,000003,19640331,19850430,S&P 500 Comp-Ltd,I0003,NATIONAL CAN CORP,NAC.3,635128101
009653,000003,19640331,19850531,S&P 500 Comp-Ltd,I0003,SHELL OIL CO,4108A,822635009
007674,000003,19640331,19850831,S&P 500 Comp-Ltd,I0003,NABISCO BRANDS INC,NB.2,629525106
009560,000003,19640331,19850831,S&P 500 Comp-Ltd,I0003,SEARLE (G.D.) & CO,SRL.2,812302107
010873,000003,19640331,19850831,S&P 500 Comp-Ltd,I0003,UNIROYAL INC,R.1,909160103
001040,000003,19640331,19850930,S&P 500 Comp-Ltd,I0003,AMF INC,AMF.2,001688100
005055,000003,19640331,19851031,S&P 500 Comp-Ltd,I0003,GENERAL FOODS CORP,MO1,369856000
006828,000003,19640331,19851031,S&P 500 Comp-Ltd,I0003,LOWENSTEIN (M.) CORP,LST.1,547779108
003125,000003,19640331,19851231,S&P 500 Comp-Ltd,I0003,CLUETT PEABODY & CO,CLU.2,189486103
002102,000003,19640331,19860331,S&P 500 Comp-Ltd,I0003,BEATRICE COS INC,4708C,074077934
001623,000003,19640331,19860430,S&P 500 Comp-Ltd,I0003,AMSTED INDUSTRIES,4936C,032177107
003627,000003,19640331,19860430,S&P 500 Comp-Ltd,I0003,CROWN ZELLERBACH,FJ1,228669008
007739,000003,19640331,19860430,S&P 500 Comp-Ltd,I0003,NATIONAL GYPSUM CO,NGCO,636317109
008889,000003,19640331,19860531,S&P 500 Comp-Ltd,I0003,RCA CORP,RCA.1,749285102
006928,000003,19640331,19860630,S&P 500 Comp-Ltd,I0003,MACY (R H) & CO,4931C,556139939
009947,000003,19640331,19860831,S&P 500 Comp-Ltd,I0003,SPERRY CORP,SY.2,848355103
001803,000003,19640331,19860930,S&P 500 Comp-Ltd,I0003,ASSOCIATED DRY GOODS CORP,DG.2,045573102
004475,000003,19640331,19860930,S&P 500 Comp-Ltd,I0003,EX-CELL-O CORP,XLO,300587102
004920,000003,19640331,19860930,S&P 500 Comp-Ltd,I0003,K-H CORP,KH.1,482461910
011266,000003,19640331,19860930,S&P 500 Comp-Ltd,I0003,WALKER (HIRAM) RESOURCES LTD,HWR.,931647101
009359,000003,19640331,19861031,S&P 500 Comp-Ltd,I0003,SAFEWAY INC,SWY,786514208
002998,000003,19640331,19861130,S&P 500 Comp-Ltd,I0003,CHICAGO PNEUMATIC TOOL CO,CGG.1,167898105
001301,000003,19640331,19861231,S&P 500 Comp-Ltd,I0003,ALLIED STORES,9174A,019519008
002827,000003,19640331,19870131,S&P 500 Comp-Ltd,I0003,CELANESE CORP-OLD,CZ.1,150843100
008215,000003,19640331,19870228,S&P 500 Comp-Ltd,I0003,OWENS-ILLINOIS INC,OI,690768403
009111,000003,19640331,19870430,S&P 500 Comp-Ltd,I0003,REXNORD HOLDINGS INC-OLD,FA1,76168T005
006291,000003,19640331,19870531,S&P 500 Comp-Ltd,I0003,JOY TECHNOLOGIES INC  -CL A,JOY.1,481206100
